bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
170310101001,442,82,524,84.9300003052,32.0499992371,67.9499969482
170310101002,1793,46,1839,78.9599990845,0.930000007153,99.0699996948
170310101003,1589,256,1845,98.1399993896,39.2099990845,60.7900009155
170310102011,1369,60,1429,98.6900024414,47.8600006104,52.1399993896
170310102012,3083,750,3833,99.7099990845,38.2700004578,61.7299995422
170310102013,1023,110,1133,100.0,74.3399963379,25.6599998474
170310102021,1206,46,1252,93.7099990845,9.71000003815,90.2900009155
170310102022,965,588,1553,98.9800033569,39.0800018311,60.9199981689
170310103001,317,586,903,96.2699966431,75.8199996948,24.1800003052
170310103002,1881,216,2097,98.1299972534,33.0699996948,66.9300003052
170310103003,830,712,1542,95.4199981689,64.9899978638,35.0099983215
170310103004,508,864,1372,94.75,86.8300018311,13.1700000763
170310104001,1147,221,1368,100.0,31.3899993896,68.6100006104
170310104002,497,268,765,91.0699996948,70.4100036621,29.5900001526
170310104003,1881,599,2480,92.6399993896,28.2800006866,71.7200012207
170310105011,459,376,835,93.6100006104,46.7400016785,53.2599983215
170310105012,1520,295,1815,97.5299987793,38.2799987793,61.7200012207
170310105013,888,335,1223,93.8600006104,68.8000030518,31.2000007629
170310105021,1003,265,1268,100.0,25.0200004578,74.9800033569
170310105022,1553,151,1704,92.5599975586,49.5499992371,50.4500007629
170310105031,1460,0,1460,95.3000030518,10.3299999237,89.6699981689
170310105032,621,0,621,77.2399978638,0.0,100.0
170310106001,937,954,1891,98.5400009155,66.9300003052,33.0699996948
170310106002,261,591,852,95.5199966431,91.5299987793,8.47000026703
170310106003,1039,223,1262,67.5999984741,0.0,100.0
170310106004,69,543,612,41.5200004578,0.0,0.0
170310107011,1000,630,1630,98.3099975586,75.5299987793,24.4699993134
170310107012,1799,360,2159,100.0,60.4900016785,39.5099983215
170310107021,1549,0,1549,100.0,0.0,100.0
170310107022,1034,0,1034,94.1699981689,0.0,100.0
170310107023,1533,78,1611,100.0,27.6399993896,72.3600006104
170310107024,848,30,878,98.2099990845,28.7099990845,71.2900009155
170310201001,1931,408,2339,99.0299987793,38.3600006104,61.6399993896
170310201002,1333,204,1537,95.7600021362,39.6399993896,60.3600006104
170310202001,1075,425,1500,89.7699966431,48.2700004578,51.7299995422
170310202002,1125,125,1250,84.4000015259,27.3400001526,72.6600036621
170310202003,1229,248,1477,87.6600036621,37.1699981689,62.8300018311
170310202004,1803,118,1921,100.0,23.2299995422,76.7699966431
170310203011,1184,172,1356,88.5699996948,62.8800010681,37.1199989319
170310203012,641,17,658,48.0999984741,0.0,0.0
170310203013,1197,411,1608,85.9899978638,34.5800018311,65.4199981689
170310203021,1128,206,1334,100.0,31.8400001526,68.1600036621
170310203022,513,289,802,81.3399963379,38.2200012207,61.7799987793
170310203023,1887,84,1971,84.7399978638,7.63999986649,92.3600006104
170310204001,699,79,778,96.1699981689,57.2799987793,42.7200012207
170310204002,1015,314,1329,87.5500030518,28.8299999237,71.1699981689
170310204003,1055,521,1576,82.0800018311,35.7700004578,64.2300033569
170310205001,2140,372,2512,100.0,44.7599983215,55.2400016785
170310205002,901,0,901,94.7399978638,0.0,100.0
170310205003,980,677,1657,94.0899963379,66.1500015259,33.8499984741
170310205004,985,66,1051,94.6800003052,7.63000011444,92.3700027466
170310206011,827,565,1392,75.7300033569,49.9700012207,50.0299987793
170310206012,2649,89,2738,89.6800003052,6.92000007629,93.0800018311
170310206013,1360,159,1519,100.0,17.5100002289,82.4899978638
170310206021,950,224,1174,100.0,14.25,85.75
170310206022,1099,21,1120,99.9100036621,4.44999980927,95.5500030518
170310206023,919,57,976,90.6200027466,0.0,100.0
170310206024,87,203,290,29.8700008392,0.0,0.0
170310207011,689,109,798,94.8899993896,33.8699989319,66.1299972534
170310207012,859,11,870,99.7699966431,29.3299999237,70.6699981689
170310207021,1420,28,1448,75.4199981689,10.4899997711,89.5100021362
170310207022,2482,0,2482,96.1299972534,1.92999994755,98.0699996948
170310207023,1672,0,1672,95.0500030518,13.4300003052,86.5699996948
170310207024,835,30,865,84.1399993896,5.76999998093,94.2300033569
170310208011,1497,38,1535,94.4599990845,17.4699993134,82.5299987793
170310208012,890,75,965,85.9300003052,16.1599998474,83.8399963379
170310208013,962,29,991,83.7699966431,20.4899997711,79.5100021362
170310208014,1384,110,1494,98.2200012207,19.4099998474,80.5899963379
170310208021,950,33,983,96.4700012207,10.0799999237,89.9199981689
170310208022,1601,0,1601,89.9400024414,16.7999992371,83.1999969482
170310208023,2334,0,2334,89.0500030518,0.0,100.0
170310208024,1487,0,1487,99.4000015259,0.0,100.0
170310209011,1722,153,1875,90.3199996948,7.01999998093,92.9800033569
170310209012,477,9,486,51.1599998474,30.0699996948,69.9300003052
170310209013,2043,65,2108,92.2900009155,5.48000001907,94.5199966431
170310209021,2058,143,2201,93.1399993896,23.2199993134,76.7799987793
170310209022,1470,0,1470,75.6600036621,0.0,100.0
170310301011,889,92,981,88.7799987793,17.3999996185,82.5999984741
170310301012,319,94,413,72.7099990845,23.9799995422,76.0199966431
170310301013,969,182,1151,100.0,0.0,0.0
170310301014,799,17,816,71.8300018311,31.6100006104,68.3899993896
170310301021,944,25,969,100.0,6.80000019073,93.1999969482
170310301022,996,0,996,95.1299972534,0.0,100.0
170310301023,1125,0,1125,82.0599975586,0.0,100.0
170310301031,804,0,804,94.2600021362,0.0,100.0
170310301032,952,44,996,100.0,47.0800018311,52.9199981689
170310301041,2496,99,2595,87.7900009155,14.6800003052,85.3199996948
170310301042,813,0,813,100.0,0.0,0.0
170310302001,1606,0,1606,91.7699966431,0.0,100.0
170310302002,934,24,958,72.5800018311,3.29999995232,96.6999969482
170310302003,641,70,711,69.1600036621,11.3699998856,88.6299972534
170310302004,1203,0,1203,92.6800003052,2.42000007629,97.5800018311
170310303001,1681,10,1691,100.0,9.84000015259,90.1600036621
170310303002,1520,54,1574,100.0,27.5300006866,72.4700012207
170310304001,1116,114,1230,89.6500015259,12.5699996948,87.4300003052
170310304002,838,41,879,67.0500030518,12.25,87.75
170310305001,1099,23,1122,97.2300033569,11.6800003052,88.3199996948
170310305002,1701,9,1710,87.7799987793,13.7399997711,86.2600021362
170310305003,1405,37,1442,90.3499984741,21.4899997711,78.5100021362
170310305004,1553,24,1577,96.3300018311,25.8199996948,74.1800003052
170310306011,1143,54,1197,100.0,0.0,0.0
170310306012,788,0,788,82.0800018311,6.42000007629,93.5800018311
170310306013,1514,31,1545,81.4899978638,18.6200008392,81.3799972534
170310306031,877,0,877,87.1800003052,4.96000003815,95.0400009155
170310306032,1177,0,1177,98.5800018311,20.9400005341,79.0599975586
170310306041,1081,0,1081,87.5299987793,8.02000045776,91.9800033569
170310306042,693,73,766,93.1900024414,23.5499992371,76.4499969482
170310306043,610,0,610,75.7799987793,7.84999990463,92.1500015259
170310307011,1546,0,1546,97.1100006104,1.58000004292,98.4199981689
170310307021,609,0,609,62.2700004578,0.0,100.0
170310307022,652,0,652,100.0,0.0,100.0
170310307031,908,0,908,87.4800033569,5.28000020981,94.7200012207
170310307032,442,0,442,86.8399963379,29.5,70.5
170310307033,1478,0,1478,96.5400009155,0.0,100.0
170310307061,2016,0,2016,100.0,36.4099998474,63.5900001526
170310307062,1353,0,1353,71.9700012207,23.0900001526,76.9100036621
170310308001,973,55,1028,100.0,33.5200004578,66.4800033569
170310308002,1094,41,1135,95.3000030518,0.0,100.0
170310308003,986,0,986,95.3600006104,0.0,100.0
170310308004,1047,0,1047,100.0,17.4899997711,82.5100021362
170310309001,433,14,447,79.2600021362,10.0500001907,89.9499969482
170310309002,670,27,697,78.4899978638,15.7600002289,84.2399978638
170310309003,714,92,806,89.8600006104,17.9500007629,82.0500030518
170310309004,681,0,681,96.4599990845,9.32999992371,90.6699981689
170310310001,926,0,926,94.5899963379,14.0500001907,85.9499969482
170310310002,1054,0,1054,100.0,13.2899999619,86.7099990845
170310310003,1336,55,1391,86.4000015259,8.77999973297,91.2200012207
170310311001,791,662,1453,76.3899993896,51.8300018311,48.1699981689
170310311002,826,21,847,87.2300033569,36.6199989319,63.3800010681
170310311003,1509,0,1509,98.4300003052,14.8199996948,85.1800003052
170310312001,1549,0,1549,97.0599975586,6.21000003815,93.7900009155
170310312002,1583,0,1583,95.8199996948,0.0,100.0
170310312003,1001,0,1001,93.7300033569,0.0,100.0
170310312004,1494,0,1494,100.0,2.00999999046,97.9899978638
170310313001,1366,68,1434,100.0,40.0200004578,59.9799995422
170310313002,514,750,1264,100.0,0.0,0.0
170310313003,656,0,656,94.5199966431,22.9599990845,77.0400009155
170310313004,2207,173,2380,100.0,38.6699981689,61.3300018311
170310313005,1182,160,1342,96.1299972534,69.1200027466,30.8799991608
170310314001,967,365,1332,100.0,0.0,0.0
170310314002,142,495,637,97.8499984741,0.0,0.0
170310314003,517,553,1070,99.7200012207,60.0699996948,39.9300003052
170310314004,116,0,116,100.0,58.4500007629,41.5499992371
170310314005,1067,11,1078,100.0,40.4300003052,59.5699996948
170310314006,901,0,901,100.0,37.7900009155,62.2099990845
170310315011,926,0,926,100.0,19.6200008392,80.3799972534
170310315012,1982,0,1982,100.0,6.11999988556,93.8799972534
170310315013,1171,0,1171,100.0,0.0,0.0
170310315021,1455,0,1455,100.0,2.02999997139,97.9700012207
170310315022,1118,0,1118,96.9599990845,7.92999982834,92.0699996948
170310315023,1668,51,1719,96.5199966431,0.0,100.0
170310317001,1805,202,2007,100.0,19.4699993134,80.5299987793
170310317002,1153,60,1213,64.4199981689,0.0,100.0
170310317003,891,246,1137,70.4899978638,0.219999998808,99.7799987793
170310317004,874,389,1263,99.5299987793,34.3800010681,65.6200027466
170310318001,1709,35,1744,95.1999969482,21.2000007629,78.8000030518
170310319001,938,112,1050,94.9400024414,38.4300003052,61.5699996948
170310319002,1148,9,1157,96.0199966431,30.2700004578,69.7300033569
170310321001,1623,64,1687,92.6900024414,21.8199996948,78.1800003052
170310321002,1149,0,1149,97.8700027466,32.6100006104,67.3899993896
170310321003,1586,136,1722,100.0,40.3699989319,59.6300010681
170310321004,1496,0,1496,100.0,3.55999994278,96.4400024414
170310321005,969,0,969,100.0,8.10000038147,91.9000015259
170310401001,443,121,564,38.4700012207,54.3300018311,45.6699981689
170310401002,1041,514,1555,100.0,44.8899993896,55.1100006104
170310401003,710,137,847,79.7600021362,12.0399999619,87.9599990845
170310402011,1229,0,1229,98.7900009155,7.86000013351,92.1399993896
170310402012,1586,160,1746,98.7600021362,21.5900001526,78.4100036621
170310402013,1402,66,1468,99.5899963379,26.4300003052,73.5699996948
170310402014,1258,435,1693,95.9800033569,36.6899986267,63.3100013733
170310402021,790,162,952,94.8199996948,27.25,72.75
170310402022,2299,374,2673,100.0,21.5300006866,78.4700012207
170310402023,1406,0,1406,98.3899993896,18.2199993134,81.7799987793
170310402024,2127,0,2127,99.5299987793,20.5799999237,79.4199981689
170310403001,453,447,900,86.2099990845,59.1100006104,40.8899993896
170310403002,1100,175,1275,98.9100036621,34.5699996948,65.4300003052
