bgrp,total_his_count
170310101001,0.0
170310101002,0.0
170310101003,0.0
170310102011,0.0
170310102012,0.0
170310102013,0.0
170310102021,0.0
170310102022,0.0
170310103001,1.0
170310103002,0.0
170310103003,0.0
170310103004,0.0
170310104001,0.0
170310104002,0.0
170310104003,2.0
170310105011,0.0
170310105012,0.0
170310105013,0.0
170310105021,0.0
170310105022,0.0
170310105031,0.0
170310105032,0.0
170310106001,0.0
170310106002,0.0
170310106003,0.0
170310106004,0.0
170310107011,0.0
170310107012,0.0
170310107021,0.0
170310107022,0.0
170310107023,0.0
170310107024,0.0
170310201001,0.0
170310201002,0.0
170310202001,0.0
170310202002,0.0
170310202003,0.0
170310202004,0.0
170310203011,0.0
170310203012,0.0
170310203013,0.0
170310203021,1.0
170310203022,3.0
170310203023,3.0
170310204001,0.0
170310204002,1.0
170310204003,0.0
170310205001,0.0
170310205002,0.0
170310205003,0.0
170310205004,0.0
170310206011,0.0
170310206012,0.0
170310206013,1.0
170310206021,0.0
170310206022,0.0
170310206023,1.0
170310206024,0.0
170310207011,0.0
170310207012,0.0
170310207021,0.0
170310207022,1.0
170310207023,0.0
170310207024,0.0
170310208011,0.0
170310208012,0.0
170310208013,0.0
170310208014,0.0
170310208021,0.0
170310208022,0.0
170310208023,1.0
170310208024,1.0
170310209011,0.0
170310209012,0.0
170310209013,0.0
170310209021,0.0
170310209022,0.0
170310301011,0.0
170310301012,0.0
170310301013,0.0
170310301014,0.0
170310301021,0.0
170310301022,0.0
170310301023,0.0
170310301031,0.0
170310301032,0.0
170310301041,1.0
170310301042,0.0
170310302001,0.0
170310302002,1.0
170310302003,0.0
170310302004,0.0
170310303001,0.0
170310303002,0.0
170310304001,1.0
170310304002,1.0
170310305001,0.0
170310305002,1.0
170310305003,1.0
170310305004,2.0
170310306011,0.0
170310306012,0.0
170310306013,1.0
170310306031,1.0
170310306032,0.0
170310306041,2.0
170310306042,1.0
170310306043,1.0
170310307011,2.0
170310307021,0.0
170310307022,0.0
170310307031,1.0
170310307032,1.0
170310307033,0.0
170310307061,4.0
170310307062,2.0
170310308001,2.0
170310308002,1.0
170310308003,1.0
170310308004,1.0
170310309001,1.0
170310309002,1.0
170310309003,1.0
170310309004,2.0
170310310001,1.0
170310310002,1.0
170310310003,0.0
170310311001,2.0
170310311002,2.0
170310311003,0.0
170310312001,1.0
170310312002,1.0
170310312003,1.0
170310312004,1.0
170310313001,2.0
170310313002,0.0
170310313003,1.0
170310313004,3.0
170310313005,0.0
170310314001,2.0
170310314002,1.0
170310314003,2.0
170310314004,1.0
170310314005,4.0
170310314006,2.0
170310315011,2.0
170310315012,1.0
170310315013,0.0
170310315021,0.0
170310315022,0.0
170310315023,0.0
170310317001,2.0
170310317002,2.0
170310317003,2.0
170310317004,2.0
170310318001,2.0
170310319001,1.0
170310319002,2.0
170310321001,1.0
170310321002,1.0
170310321003,1.0
170310321004,1.0
170310321005,1.0
170310401001,1.0
170310401002,0.0
170310401003,0.0
170310402011,0.0
170310402012,0.0
170310402013,0.0
170310402014,0.0
170310402021,0.0
170310402022,0.0
170310402023,0.0
170310402024,0.0
170310403001,0.0
170310403002,0.0
170310403003,1.0
170310404011,0.0
170310404012,0.0
170310404013,0.0
170310404014,0.0
170310404021,0.0
170310404022,0.0
170310404023,0.0
170310404024,0.0
170310404025,0.0
170310406001,0.0
170310406002,0.0
170310406003,1.0
170310407001,0.0
170310407002,0.0
170310407003,0.0
170310407004,1.0
170310408001,0.0
170310408002,1.0
170310409001,0.0
170310409002,0.0
170310501001,0.0
170310501002,1.0
170310502001,0.0
170310502002,0.0
170310502003,0.0
170310503001,0.0
170310503002,0.0
170310503003,0.0
170310505001,0.0
170310505002,0.0
170310505003,0.0
170310505004,0.0
170310505005,0.0
170310506001,0.0
170310506002,0.0
170310507001,0.0
170310508001,0.0
170310509001,0.0
170310510001,0.0
170310511001,0.0
170310512001,0.0
170310512002,0.0
170310513001,0.0
170310513002,0.0
170310514001,1.0
170310514002,1.0
170310601001,2.0
170310601002,2.0
170310601003,2.0
170310602001,2.0
170310602002,2.0
170310603001,1.0
170310603002,0.0
170310604001,0.0
170310604002,0.0
170310604003,0.0
170310605001,0.0
170310608001,0.0
170310608002,1.0
170310608003,0.0
170310609001,0.0
170310609002,1.0
170310609003,0.0
170310609004,1.0
170310609005,0.0
170310610001,0.0
170310611001,2.0
170310612001,0.0
170310615001,0.0
170310618001,0.0
170310619011,1.0
170310619012,1.0
170310619013,1.0
170310619014,0.0
170310619021,1.0
170310619022,1.0
170310619023,1.0
170310619024,1.0
170310620001,1.0
170310620002,0.0
170310621001,0.0
170310621002,0.0
170310621003,2.0
170310622001,0.0
170310622002,1.0
170310623001,0.0
170310624001,0.0
170310625001,0.0
170310626001,0.0
170310627001,0.0
170310627002,0.0
170310627003,0.0
170310628001,0.0
170310628002,0.0
170310628003,1.0
170310629001,2.0
170310629002,1.0
170310629003,1.0
170310630001,2.0
170310630002,1.0
170310630003,1.0
170310631001,1.0
170310631002,2.0
170310632001,2.0
170310632002,3.0
170310632003,2.0
170310632004,3.0
170310632005,2.0
170310632006,2.0
170310633011,1.0
170310633012,1.0
170310633013,1.0
170310633021,3.0
170310633022,2.0
170310633023,2.0
170310633024,2.0
170310633031,2.0
170310633032,1.0
170310634001,1.0
170310634002,1.0
170310701011,1.0
170310701012,1.0
170310701013,2.0
170310701021,3.0
170310701022,1.0
170310701023,1.0
170310701031,1.0
170310701032,0.0
170310702001,1.0
170310702002,1.0
170310702003,0.0
170310703001,3.0
170310703002,3.0
170310704001,1.0
170310704002,2.0
170310704003,1.0
170310705001,0.0
170310705002,2.0
170310705003,1.0
170310706001,0.0
170310706002,3.0
170310707001,0.0
170310707002,2.0
170310710001,3.0
170310710002,3.0
170310711001,3.0
170310711002,3.0
170310712001,2.0
170310712002,3.0
170310713001,1.0
170310713002,1.0
170310714001,0.0
170310714002,3.0
170310714003,4.0
170310714004,1.0
170310715001,1.0
170310715002,1.0
170310715003,5.0
170310715004,1.0
170310715005,1.0
170310715006,1.0
170310716001,1.0
170310717001,0.0
170310717002,0.0
170310718001,3.0
170310718002,4.0
170310801001,1.0
170310801002,2.0
170310801003,2.0
170310801004,2.0
170310801005,2.0
170310801006,3.0
170310801007,2.0
170310802011,1.0
170310802012,4.0
170310802013,2.0
170310802021,1.0
170310802022,1.0
170310802023,1.0
170310803001,2.0
170310803002,2.0
170310803003,1.0
170310803004,1.0
170310804001,1.0
170310804002,0.0
170310804003,0.0
170310810001,1.0
170310810002,2.0
170310810003,4.0
170310810004,0.0
170310810005,0.0
170310810006,1.0
170310811001,2.0
170310811002,1.0
170310811003,1.0
170310812011,1.0
170310812012,5.0
170310812013,2.0
170310812021,2.0
170310812022,1.0
170310812023,1.0
170310812024,1.0
170310813001,0.0
170310813002,1.0
170310813003,1.0
170310813004,3.0
170310813005,1.0
170310813006,1.0
170310814011,0.0
170310814012,1.0
170310814021,3.0
170310814022,1.0
170310814023,0.0
170310814031,6.0
170310814032,0.0
170310814033,0.0
170310815001,3.0
170310815002,0.0
170310815003,2.0
170310816001,1.0
170310816002,0.0
170310817001,0.0
170310817002,4.0
170310818001,0.0
170310818002,0.0
170310818003,0.0
170310819001,0.0
170310901001,0.0
170310901002,0.0
170310901003,0.0
170310901004,0.0
170310902001,0.0
170310902002,0.0
170310902003,0.0
170310902004,1.0
170310902005,0.0
170310903001,0.0
