,Street,City,State,Zip,Census Tract,Census Block,GEOID
0,7739 W HOWARD ST,Chicago,IL,60631,,,170310901004
1,7730 W BIRCHWOOD AVE,Chicago,IL,60631,,,170310901004
2,7726 W BIRCHWOOD AVE,Chicago,IL,60631,,,170310901004
3,7714 W BIRCHWOOD AVE,Chicago,IL,60631,,,170310901004
4,7518 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
5,7506 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
6,7502 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
7,7500 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
8,7509 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
9,7501 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
10,7649 W HOWARD ST,Chicago,IL,60631,,,170310901004
11,7515 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
12,7511 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
13,7516 N ORIOLE AVE,Chicago,IL,60631,,,170310901004
14,7558 N ORIOLE AVE,Chicago,IL,60631,,,170310901004
15,7543 N OTTAWA AVE,Chicago,IL,60631,,,170310901004
16,7535 N OTTAWA AVE,Chicago,IL,60631,,,170310901004
17,7452 N OZARK AVE,Chicago,IL,60631,,,170310901004
18,7715 W BIRCHWOOD AVE,Chicago,IL,60631,,,170310901004
19,7450 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
20,7730 W FARGO AVE,Chicago,IL,60631,,,170310901004
21,7743 W BIRCHWOOD AVE,Chicago,IL,60631,,,170310901004
22,7423 N OZARK AVE,Chicago,IL,60631,,,170310901004
23,7427 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
24,7401 N OVERHILL AVE,Chicago,IL,60631,,,170310901004
25,7452 N OTTAWA AVE,Chicago,IL,60631,,,170310901004
26,7640 W JARVIS AVE,Chicago,IL,60631,,,170310901004
27,7421 N OTTAWA AVE,Chicago,IL,60631,,,170310901004
28,7440 N ORIOLE AVE,Chicago,IL,60631,,,170310901004
29,7412 N ORIOLE AVE,Chicago,IL,60631,,,170310901004
30,7425 N OTTAWA AVE,Chicago,IL,60631,,,170310901004
31,7438 N ORIOLE AVE,Chicago,IL,60631,,,170310901004
32,7721 W SHERWIN AVE,Chicago,IL,60631,,,170310901003
33,7720 W CHASE AVE,Chicago,IL,60631,,,170310901003
34,7324 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
35,7320 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
36,7214 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
37,7348 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
38,7258 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
39,7252 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
40,7244 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
41,7330 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
42,7329 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
43,7319 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
44,7315 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
45,7240 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
46,7237 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
47,7225 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
48,7219 N OVERHILL AVE,Chicago,IL,60631,,,170310901003
49,7232 N ORIOLE AVE,Chicago,IL,60631,,,170310901003
50,7259 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
51,7225 N OTTAWA AVE,Chicago,IL,60631,,,170310901003
52,7534 N OLEANDER AVE,Chicago,IL,60631,,,170310901004
