,Street,City,State,Zip,GEOID
10000,4048 N CAMPBELL AVE,Chicago,IL,60618,170310503002
10001,4044 N CAMPBELL AVE,Chicago,IL,60618,170310503002
10002,4030 N CAMPBELL AVE,Chicago,IL,60618,170310503002
10003,NA,Chicago,IL,,
10004,NA,Chicago,IL,,
10005,NA,Chicago,IL,,
10006,NA,Chicago,IL,,
10007,NA,Chicago,IL,,
10008,NA,Chicago,IL,,
10009,NA,Chicago,IL,,
10010,2457 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10011,2453 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10012,2451 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10013,2441 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10014,2431 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10015,2427 W BELLE PLAINE AVE,Chicago,IL,60618,170310503002
10016,2418 W CUYLER AVE,Chicago,IL,60618,170310503002
10017,NA,Chicago,IL,,
10018,NA,Chicago,IL,,
10019,NA,Chicago,IL,,
10020,NA,Chicago,IL,,
10021,NA,Chicago,IL,,
10022,NA,Chicago,IL,,
10023,NA,Chicago,IL,,
10024,2417 W CUYLER AVE,Chicago,IL,60618,170310503002
10025,4740 N HARDING AVE,Chicago,IL,60625,170311406011
10026,4706 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10027,4743 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10028,4719 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10029,4706 N AVERS AVE,Chicago,IL,60625,170311406011
10030,4721 N AVERS AVE,Chicago,IL,60625,170311406011
10031,4704 N HAMLIN AVE,Chicago,IL,60625,170311406023
10032,3804 W LELAND AVE,Chicago,IL,60625,170311406023
10033,3731 W GIDDINGS ST,Chicago,IL,60625,170311406023
10034,4712 N LAWNDALE AVE,Chicago,IL,60625,170311406023
10035,3725 W GIDDINGS ST,Chicago,IL,60625,170311406023
10036,NA,Chicago,IL,,
10037,NA,Chicago,IL,,
10038,NA,Chicago,IL,,
10039,NA,Chicago,IL,,
10040,NA,Chicago,IL,,
10041,NA,Chicago,IL,,
10042,NA,Chicago,IL,,
10043,NA,Chicago,IL,,
10044,NA,Chicago,IL,,
10045,NA,Chicago,IL,,
10046,NA,Chicago,IL,,
10047,NA,Chicago,IL,,
10048,NA,Chicago,IL,,
10049,NA,Chicago,IL,,
10050,NA,Chicago,IL,,
10051,NA,Chicago,IL,,
10052,NA,Chicago,IL,,
10053,NA,Chicago,IL,,
10054,NA,Chicago,IL,,
10055,NA,Chicago,IL,,
10056,NA,Chicago,IL,,
10057,4721 N MONTICELLO AVE,Chicago,IL,60625,170311406021
10058,4711 N MONTICELLO AVE,Chicago,IL,60625,170311406021
10059,4718 N CENTRAL PARK AVE,Chicago,IL,60625,170311406021
10060,NA,Chicago,IL,,
10061,NA,Chicago,IL,,
10062,NA,Chicago,IL,,
10063,4644 N HARDING AVE,Chicago,IL,60625,170311406011
10064,4624 N HARDING AVE,Chicago,IL,60625,170311406011
10065,4606 N HARDING AVE,Chicago,IL,60625,170311406011
10066,4655 N HARDING AVE,Chicago,IL,60625,170311406011
10067,4632 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10068,4620 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10069,4618 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10070,4614 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10071,4629 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10072,4623 N SPRINGFIELD AVE,Chicago,IL,60625,170311406011
10073,4644 N AVERS AVE,Chicago,IL,60625,170311406011
10074,4650 N AVERS AVE,Chicago,IL,60625,170311406011
10075,4617 N AVERS AVE,Chicago,IL,60625,170311406011
10076,4626 N HAMLIN AVE,Chicago,IL,60625,170311406023
10077,3748 W EASTWOOD AVE,Chicago,IL,60625,170311406023
10078,3740 W EASTWOOD AVE,Chicago,IL,60625,170311406023
10079,3722 W EASTWOOD AVE,Chicago,IL,60625,170311406023
